Entity,Code,"Cardiovascular diseases","High Body-Mass Index","Lack of Protein","High Fasting Plasma Glucose","Protein-Energy Malnutrition","Digestive Diseases"
Ukraine,UKR,593.6343,156.97504,1.35,101.22427,0.33,34.473183
United Kingdom,GBR,191.27956,58.03978,0.02,64.086876,0.1,23.70538
United States,USA,198.92432,76.892914,0.08,69.233986,1.41,20.4777
Uruguay,URY,196.2997,64.60807,4.9,40.523106,1.92,25.997694
Uzbekistan,UZB,578.819,182.7432,0.33,126.52631,0.16,50.096497
Venezuela,VEN,231.7668,82.982635,23.12,112.97647,4.35,29.275145
Afghanistan,AFG,0.0,107.69141,63.82,229.35204,6.04,0.0
African Region (WHO),0,0.0,67.39254,125.9,112.783035,0.0,0.0
Algeria,DZA,0.0,123.968994,4.78,149.11536,0.64,0.0
American Samoa,ASM,0.0,204.89445,9.66,236.68153,0.0,0.0
Andorra,AND,0.0,38.560593,0.01,29.614403,0.0,0.0
Angola,AGO,0.0,35.923344,270.08,126.551094,43.06,0.0
Bangladesh,BGD,0.0,17.313814,96.06,95.54288,11.42,0.0
Benin,BEN,0.0,67.95212,104.07,109.7541,19.91,0.0
Bermuda,BMU,0.0,79.68664,0.57,81.15703,0.0,0.0
Bhutan,BTN,0.0,38.449028,29.9,67.67943,3.18,0.0
Bolivia,BOL,0.0,86.425255,73.99,101.62187,14.55,0.0
Bosnia and Herzegovina,BIH,0.0,87.476006,0.01,97.80847,0.02,0.0
Botswana,BWA,0.0,134.50372,38.21,205.40504,8.88,0.0
Burkina Faso,BFA,0.0,38.465725,176.88,101.325966,22.96,0.0
Burundi,BDI,0.0,40.708023,193.59,120.30469,41.39,0.0
Cambodia,KHM,0.0,25.856358,56.74,97.54846,12.03,0.0
Cameroon,CMR,0.0,109.921234,41.18,128.45268,13.37,0.0
Cape Verde,CPV,0.0,48.188675,32.51,79.39164,2.25,0.0
Central African Republic,CAF,0.0,52.63283,141.75,160.73975,19.95,0.0
Chad,TCD,0.0,32.898323,246.56,101.10648,39.64,0.0
China,CHN,0.0,32.905075,9.21,72.641846,1.02,0.0
Comoros,COM,0.0,60.17648,83.48,94.44362,23.3,0.0
Congo,COG,0.0,114.22166,52.96,159.8191,14.49,0.0
Cook Islands,COK,0.0,204.12207,0.8,220.2001,0.0,0.0
Cote d'Ivoire,CIV,0.0,74.457886,42.88,122.550415,7.85,0.0
Democratic Republic of Congo,COD,0.0,60.2481,153.59,118.43984,21.08,0.0
Djibouti,DJI,0.0,31.822126,258.13,96.290085,35.85,0.0
